,보호자 기본 정보,,,,,,,보호자정보,,,이용서비스,서비스 계약 정보,,,,,,,,장기요양인정서 정보,,,,본인부담금 정보,,,청구한도 정보,,
순번,수급자,주민번호,무선,유선,우편번호,주소,상세주소,성명,관계,연락처,종류,이용상태,중지사유,계약시작일자,계약종료일자,90분가능여부,요양보호사,배우자여부,요양보호사,인증번호,유효시작일,유효종료일,요양등급,수급자구분,적용시작일,적용종료일,청구한도금액,적용시작일,적용종료일
1,나수급,123456-7890123,010-1234-1234,02-1234-1234,123-234,서울시 마포구 노고산동,123번지,나천사,자녀,010-1234-1234,1,1,1,2011.01.01,2013.01.01,Y,주담당,Y,부담당,L001234567,2011.09.01,2013.08.31,1,1,2010.09.01,2011.08.31,10000000,2010.09.01,2012.08.31
,,,,,,,,,,,,,,,,,,,,,,,1 : 1등급,1 : 기초,,,,,
,,,,,,,,,,,1 : 장기요양,1.이용,1 : 계약해지,,,,,,,,,,2 : 2등급,2 : 의료,,,,,
,,,,,,,,,,,2 : 가사간병,2.중지,2 : 보류,,,,,,,,,,3 : 3등급,3 : 경감,,,,,
,,,,,,,,,,,3 : 노인돌봄,,3 : 사망,,,,,,,,,,4 : 일반,4 : 일반,,,,,
,,,,,,,,,,,4 : 산모신생아,,4 : 타기관이전,,,,,,,,,,,,,,,,
,,,,,,,,,,,5 : 장애인활동보조,,5 : 등외판정,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,6 : 입원,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,7 : 기타,,,,,,,,,,,,,,,,
,,,,,,"유의사항
1.샘플양식 항목순서를 변경하시면 안됩니다.
2.csv 구분자가 콤마(,)이므로, 셀 내용 안에 콤마(,)를 삽입하시면 안되며 
  그외에 다른 특수문자는 상관없습니다.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
